Category,Question,Answer
Greythr,When can i submit my IT declaration?,"IT declaration can be submitted from April to December. The declaration window will be opened on the 21st of each month & closed on the 30/31st of the same month. 
The employees have 10 days’ time for updating the IT declaration. 

Once the employee logins to the portal. The employee needs to click on “SALARY” tab – then click on “IT DECLARATIONS”. If the declaration window is enabled its shows “OPEN”, then the employee needs to click on “START NOW”, enter all the declarations & submit. If the window is closed it shows “LOCKED”. 

If the declaration window is enabled an email intimation will be sent to the employee. "
Greythr,When is the IT declaration window open?,"IT declaration can be submitted from April to December. The declaration window will be opened on the 21st of each month & closed on the 30/31st of the same month. 
The employees have 10 days’ time for updating the IT declaration. 

Once the employee logins to the portal. The employee needs to click on “SALARY” tab – then click on “IT DECLARATIONS”. If the declaration window is enabled its shows “OPEN”, then the employee needs to click on “START NOW”, enter all the declarations & submit. If the window is closed it shows “LOCKED”. 

If the declaration window is enabled an email intimation will be sent to the employee. "
Greythr,"Will i get any notification, when IT declaration window is active?","IT declaration can be submitted from April to December. The declaration window will be opened on the 21st of each month & closed on the 30/31st of the same month. 
The employees have 10 days’ time for updating the IT declaration. 

Once the employee logins to the portal. The employee needs to click on “SALARY” tab – then click on “IT DECLARATIONS”. If the declaration window is enabled its shows “OPEN”, then the employee needs to click on “START NOW”, enter all the declarations & submit. If the window is closed it shows “LOCKED”. 

If the declaration window is enabled an email intimation will be sent to the employee. "
Greythr,How much time do i have to submit the declarations once the declaration window is active?,"IT declaration can be submitted from April to December. The declaration window will be opened on the 21st of each month & closed on the 30/31st of the same month. 
The employees have 10 days’ time for updating the IT declaration. 

Once the employee logins to the portal. The employee needs to click on “SALARY” tab – then click on “IT DECLARATIONS”. If the declaration window is enabled its shows “OPEN”, then the employee needs to click on “START NOW”, enter all the declarations & submit. If the window is closed it shows “LOCKED”. 

If the declaration window is enabled an email intimation will be sent to the employee. "
Greythr,How many times can Income tax declaration be updated in one year?,The employees can update their declaration on a monthly basis between 21st to 30/31st of same month. There is no limit to the number of times it can be updated in a year. 
Greythr,Can i submit IT declaration now?,The employees can update their declaration on a monthly basis between 21st to 30/31st of same month. There is no limit to the number of times it can be updated in a year. 
Greythr,Can I resubmit my tax declaration?,The employees can update their declaration on a monthly basis between 21st to 30/31st of same month. There is no limit to the number of times it can be updated in a year. 
Greythr,What is the due date to submit my IT declaration?,The employees can update their declaration on a monthly basis between 21st to 30/31st of same month. There is no limit to the number of times it can be updated in a year. 
Greythr,Is their any restriction in submitting IT declaration?,The employees can update their declaration on a monthly basis between 21st to 30/31st of same month. There is no limit to the number of times it can be updated in a year. 
Greythr,When does the window to submit proof of investment open?,"The submission of investment proof will be enabled in the month of January during the financial year. And 15 days will be given to employees to upload the proofs. An email intimation will be sent once the window is enabled. 

Once the employee logins to the portal. The employee needs to click on “SALARY” tab – then click on “PROOF OF INVESTMENTS”. "
Greythr,What is the due date to submit my proof of investment?,"The submission of investment proof will be enabled in the month of January during the financial year. And 15 days will be given to employees to upload the proofs. An email intimation will be sent once the window is enabled. 

Once the employee logins to the portal. The employee needs to click on “SALARY” tab – then click on “PROOF OF INVESTMENTS”. "
Greythr,How to submit my proof of investment?,"The submission of investment proof will be enabled in the month of January during the financial year. And 15 days will be given to employees to upload the proofs. An email intimation will be sent once the window is enabled. 

Once the employee logins to the portal. The employee needs to click on “SALARY” tab – then click on “PROOF OF INVESTMENTS”. "
Greythr,Is there a deadline to submit my proof of investment?,"The submission of investment proof will be enabled in the month of January during the financial year. And 15 days will be given to employees to upload the proofs. An email intimation will be sent once the window is enabled. 

Once the employee logins to the portal. The employee needs to click on “SALARY” tab – then click on “PROOF OF INVESTMENTS”. "
Greythr,What is the last date for POI submission?,"The submission of investment proof will be enabled in the month of January during the financial year. And 15 days will be given to employees to upload the proofs. An email intimation will be sent once the window is enabled. 

Once the employee logins to the portal. The employee needs to click on “SALARY” tab – then click on “PROOF OF INVESTMENTS”. "
Greythr,"I was on leave during the window to submit Proof of Investments (POI) and missed the deadline, what can I do next?","15 days’ time will be provided for the employees to update. If the employee is on leave all 15 days, then the employee needs to inform the HR department regarding this. We will enable the window again.  "
Greythr,"I forgot to submit my Proof of Investments (POI), what to do?","15  days’ time will be provided for the employees to update. If the employee is on leave all 15 days, then the employee needs to inform the HR department regarding this. We will enable the window again.  "
Greythr,What should I do if I missed submitting my Proof of Investments (POI)?,"15 days’ time will be provided for the employees to update. If the employee is on leave all 15 days, then the employee needs to inform the HR department regarding this. We will enable the window again.  "
Greythr,I need an extenstion to submit my (POI) Proof of investments,"15 days’ time will be provided for the employees to update. If the employee is on leave all 15 days, then the employee needs to inform the HR department regarding this. We will enable the window again.  "
Greythr,Can I submit my investment proofs after the window is closed?,"15 days’ time will be provided for the employees to update. If the employee is on leave all 15 days, then the employee needs to inform the HR department regarding this. We will enable the window again.  "
Greythr,When will my Form-16 be made available in GreytHR?,Form 16 will be made available in the month of June after the end of the financial year. 
Greythr,How to download Form-16?,Form 16 will be made available in the month of June after the end of the financial year. 
Greythr,Where can I find my Form-16?,Form 16 will be made available in the month of June after the end of the financial year. 
Greythr,How will I receive my form 16?,Form 16 will be made available in the month of June after the end of the financial year. 
Greythr,When will my form 16 become available?,Form 16 will be made available in the month of June after the end of the financial year. 
Greythr,Can my form-16 be provided to me on priority basis upon request? ,"Form16 can be generated in the month of June only, it can’t be issued across the year. "
Greythr,Can I get Form-16 now?,"Form16 can be generated in the month of June only, it can’t be issued across the year. "
Greythr,Can I get Form -16 now if i am leaving the company?,"Form16 can be generated in the month of June only, it can’t be issued across the year. "
Greythr,Please provide my form 16,"Form16 can be generated in the month of June only, it can’t be issued across the year. "
Greythr,,"Form16 can be generated in the month of June only, it can’t be issued across the year. "
Greythr,"Who can I contact for any further questions related to access to GreytHR, Payslip, IT declaration or procuring Form 16?","If the employees have any issues regarding this, then they can send an email to accounts@valenta.io addressing the query. 
Employees should mention their Employee ID in the email. 
This is applicable for employees who have resigned from the organization as well."
Greythr,Whom should i contact for GreytHR queries?,"If the employees have any issues regarding this, then they can send an email to accounts@valenta.io addressing the query. 
Employees should mention their Employee ID in the email. 
This is applicable for employees who have resigned from the organization as well."
Greythr,Whom should i contact for Payslip queries?,"If the employees have any issues regarding this, then they can send an email to accounts@valenta.io addressing the query. 
Employees should mention their Employee ID in the email. 
This is applicable for employees who have resigned from the organization as well."
Greythr,Whom should i contact for IT declaration?,"If the employees have any issues regarding this, then they can send an email to accounts@valenta.io addressing the query. 
Employees should mention their Employee ID in the email. 
This is applicable for employees who have resigned from the organization as well."
Greythr,Whom should i contact for procuring Form 16?,"If the employees have any issues regarding this, then they can send an email to accounts@valenta.io addressing the query. 
Employees should mention their Employee ID in the email. 
This is applicable for employees who have resigned from the organization as well."
Salary structure,"There is a difference in my CTC and salary in hand, what is the breakup of my salary?","CTC means Cost to Company which covers all the benefits paid to employees by the company. It includes Gross salary, Employer PF and Gratuity. Gross salary includes all salary components like Basic, HRA, conveyance, medical, & special allowances. But it excludes Employer PF & Gratuity. Salary in Hand means the amount, which is received after deducting Employee PT, Group Medical Insurance, Professional Tax, TDS (Income tax) from gross salary. Salary in Hand will vary from employee to employee based on their Income tax and IT declarations made for the year"
Salary structure,"There is a difference in my CTC and take home salary, what is the breakup of my salary?","CTC means Cost to Company which covers all the benefits paid to employees by the company. It includes Gross salary, Employer PF and Gratuity. Gross salary includes all salary components like Basic, HRA, conveyance, medical, & special allowances. But it excludes Employer PF & Gratuity. Salary in Hand means the amount, which is received after deducting Employee PT, Group Medical Insurance, Professional Tax, TDS (Income tax) from gross salary. Salary in Hand will vary from employee to employee based on their Income tax and IT declarations made for the year"
Salary structure,What is the breakup of my salary?,"CTC means Cost to Company which covers all the benefits paid to employees by the company. It includes Gross salary, Employer PF and Gratuity. Gross salary includes all salary components like Basic, HRA, conveyance, medical, & special allowances. But it excludes Employer PF & Gratuity. Salary in Hand means the amount, which is received after deducting Employee PT, Group Medical Insurance, Professional Tax, TDS (Income tax) from gross salary. Salary in Hand will vary from employee to employee based on their Income tax and IT declarations made for the year"
Salary structure,What does CTC mean?,"CTC means Cost to Company which covers all the benefits paid to employees by the company. It includes Gross salary, Employer PF and Gratuity. Gross salary includes all salary components like Basic, HRA, conveyance, medical, & special allowances. But it excludes Employer PF & Gratuity. Salary in Hand means the amount, which is received after deducting Employee PT, Group Medical Insurance, Professional Tax, TDS (Income tax) from gross salary. Salary in Hand will vary from employee to employee based on their Income tax and IT declarations made for the year"
Salary structure,What is CTC?,"CTC means Cost to Company which covers all the benefits paid to employees by the company. It includes Gross salary, Employer PF and Gratuity. Gross salary includes all salary components like Basic, HRA, conveyance, medical, & special allowances. But it excludes Employer PF & Gratuity. Salary in Hand means the amount, which is received after deducting Employee PT, Group Medical Insurance, Professional Tax, TDS (Income tax) from gross salary. Salary in Hand will vary from employee to employee based on their Income tax and IT declarations made for the year"
Salary structure,What is the difference between the new and old tax regime?,"Under the old tax regime, the employee can show all the deductions u/s 80C, 80D, 80G etc. Employees can claim allowances like HRA with higher income tax slab rate. But under the new tax regime the above deductions are not available, but the income tax slab rate is less.  The employee should compare their tax liability with both the regime. Based on the tax benefits the employee needs to select either the old or new tax regime. The tax slabs may vary as per notification by Government during yearly budget announcements"
Salary structure,What are the 2 tax regimes?,"Under the old tax regime, the employee can show all the deductions u/s 80C, 80D, 80G etc. Employees can claim allowances like HRA with higher income tax slab rate. But under the new tax regime the above deductions are not available, but the income tax slab rate is less.  The employee should compare their tax liability with both the regime. Based on the tax benefits the employee needs to select either the old or new tax regime. The tax slabs may vary as per notification by Government during yearly budget announcements"
Salary structure,Which tax regime is better?,"Under the old tax regime, the employee can show all the deductions u/s 80C, 80D, 80G etc. Employees can claim allowances like HRA with higher income tax slab rate. But under the new tax regime the above deductions are not available, but the income tax slab rate is less.  The employee should compare their tax liability with both the regime. Based on the tax benefits the employee needs to select either the old or new tax regime. The tax slabs may vary as per notification by Government during yearly budget announcements"
Salary structure,What are the deductions under new tax regime?,"Under the old tax regime, the employee can show all the deductions u/s 80C, 80D, 80G etc. Employees can claim allowances like HRA with higher income tax slab rate. But under the new tax regime the above deductions are not available, but the income tax slab rate is less.  The employee should compare their tax liability with both the regime. Based on the tax benefits the employee needs to select either the old or new tax regime. The tax slabs may vary as per notification by Government during yearly budget announcements"
Salary structure,How much is my HRA deduction ?,"Under the old tax regime, the employee can show all the deductions u/s 80C, 80D, 80G etc. Employees can claim allowances like HRA with higher income tax slab rate. But under the new tax regime the above deductions are not available, but the income tax slab rate is less.  The employee should compare their tax liability with both the regime. Based on the tax benefits the employee needs to select either the old or new tax regime. The tax slabs may vary as per notification by Government during yearly budget announcements"
Salary structure,How is the statutory deduction in my salary structured?,"There are four types of deductions – 
a.	Employee Provident Fund - will be a fixed deduction of Rs. 1,800.
b.	Professional Tax - will be a fixed deduction of Rs. 200
c.	Group Medical Insurance (GMI)
d.	Tax deducted at source (TDS or Income Tax)

GMI will be based on the CTC slabs below:
Level	Salary range (CTC/Month)	GMI deduction / month
L-1	23,118  - 26,000	150
L-2	26,001 - 37,000	250
L-3	37,001 - 50,000	300
L-4 	50,001 -  70,000	350
L- 5	70,000 - 100,000	400
L- 6	Above 100,000	450

TDS or Income tax deductions is completely based on the individuals tax planning. 
**ESI is deducted if applicable"
Salary structure,How is my GMI deducted?,"There are four types of deductions – 
a.	Employee Provident Fund - will be a fixed deduction of Rs. 1,800.
b.	Professional Tax - will be a fixed deduction of Rs. 200
c.	Group Medical Insurance (GMI)
d.	Tax deducted at source (TDS or Income Tax)

GMI will be based on the CTC slabs below:
Level	Salary range (CTC/Month)	GMI deduction / month
L-1	23,118  - 26,000	150
L-2	26,001 - 37,000	250
L-3	37,001 - 50,000	300
L-4 	50,001 -  70,000	350
L- 5	70,000 - 100,000	400
L- 6	Above 100,000	450

TDS or Income tax deductions is completely based on the individuals tax planning. 
**ESI is deducted if applicable"
Salary structure,What are my CTC deductions?,"There are four types of deductions – 
a.	Employee Provident Fund - will be a fixed deduction of Rs. 1,800.
b.	Professional Tax - will be a fixed deduction of Rs. 200
c.	Group Medical Insurance (GMI)
d.	Tax deducted at source (TDS or Income Tax)

GMI will be based on the CTC slabs below:
Level	Salary range (CTC/Month)	GMI deduction / month
L-1	23,118  - 26,000	150
L-2	26,001 - 37,000	250
L-3	37,001 - 50,000	300
L-4 	50,001 -  70,000	350
L- 5	70,000 - 100,000	400
L- 6	Above 100,000	450

TDS or Income tax deductions is completely based on the individuals tax planning. 
**ESI is deducted if applicable"
Salary structure,What are the deductions in my CTC?,"There are four types of deductions – 
a.	Employee Provident Fund - will be a fixed deduction of Rs. 1,800.
b.	Professional Tax - will be a fixed deduction of Rs. 200
c.	Group Medical Insurance (GMI)
d.	Tax deducted at source (TDS or Income Tax)

GMI will be based on the CTC slabs below:
Level	Salary range (CTC/Month)	GMI deduction / month
L-1	23,118  - 26,000	150
L-2	26,001 - 37,000	250
L-3	37,001 - 50,000	300
L-4 	50,001 -  70,000	350
L- 5	70,000 - 100,000	400
L- 6	Above 100,000	450

TDS or Income tax deductions is completely based on the individuals tax planning. 
**ESI is deducted if applicable"
Salary structure,What are my deductions on benefits ?,"There are four types of deductions – 
a.	Employee Provident Fund - will be a fixed deduction of Rs. 1,800.
b.	Professional Tax - will be a fixed deduction of Rs. 200
c.	Group Medical Insurance (GMI)
d.	Tax deducted at source (TDS or Income Tax)

GMI will be based on the CTC slabs below:
Level	Salary range (CTC/Month)	GMI deduction / month
L-1	23,118  - 26,000	150
L-2	26,001 - 37,000	250
L-3	37,001 - 50,000	300
L-4 	50,001 -  70,000	350
L- 5	70,000 - 100,000	400
L- 6	Above 100,000	450

TDS or Income tax deductions is completely based on the individuals tax planning. 
**ESI is deducted if applicable"
Salary structure,How is gratuity collected and paid?,"Gratuity is collected from the CTC of every employee. It is applicable to the employees who have worked for a minimum term of 5 years. When the employee resigns after working for 5 years, then the employee is entitled to receive gratuity. If the employee resigns without completing 5 years, then no gratuity will be paid.    "
Salary structure,What is Gratuity?,"Gratuity is collected from the CTC of every employee. It is applicable to the employees who have worked for a minimum term of 5 years. When the employee resigns after working for 5 years, then the employee is entitled to receive gratuity. If the employee resigns without completing 5 years, then no gratuity will be paid.    "
Salary structure,Am i eligible for Gratuity?,"Gratuity is collected from the CTC of every employee. It is applicable to the employees who have worked for a minimum term of 5 years. When the employee resigns after working for 5 years, then the employee is entitled to receive gratuity. If the employee resigns without completing 5 years, then no gratuity will be paid.    "
Salary structure,When will I receive my gratuity ?,"Gratuity is collected from the CTC of every employee. It is applicable to the employees who have worked for a minimum term of 5 years. When the employee resigns after working for 5 years, then the employee is entitled to receive gratuity. If the employee resigns without completing 5 years, then no gratuity will be paid.    "
Salary structure,When will I receive gratuity?,"Gratuity is collected from the CTC of every employee. It is applicable to the employees who have worked for a minimum term of 5 years. When the employee resigns after working for 5 years, then the employee is entitled to receive gratuity. If the employee resigns without completing 5 years, then no gratuity will be paid.    "
Salary structure,Who can I contact for any other questions related to my salary structure?,Please email accounts@valenta.io addressing your query. Employees must specify their Employee ID in the email and subject line. For quicker turn around times please keep the email straightforward and to-the-point.
Salary structure,Whom should i contact for my salary break up issues?,Please email accounts@valenta.io addressing your query. Employees must specify their Employee ID in the email and subject line. For quicker turn around times please keep the email straightforward and to-the-point.
Salary structure,Who can assist me with my salary breakup?,Please email accounts@valenta.io addressing your query. Employees must specify their Employee ID in the email and subject line. For quicker turn around times please keep the email straightforward and to-the-point.
Salary structure,I need some assistance with my salary break up,Please email accounts@valenta.io addressing your query. Employees must specify their Employee ID in the email and subject line. For quicker turn around times please keep the email straightforward and to-the-point.
Salary structure,,Please email accounts@valenta.io addressing your query. Employees must specify their Employee ID in the email and subject line. For quicker turn around times please keep the email straightforward and to-the-point.
Salary Deposit,When is the monthly salary credited to employees?,The salary will be credited in your bank account between 15th to 20th of every month.
Salary Deposit,When is my salary credited?,The salary will be credited in your bank account between 15th to 20th of every month.
Salary Deposit,What is the salary credit date?,The salary will be credited in your bank account between 15th to 20th of every month.
Salary Deposit,When will I receive my salary?,The salary will be credited in your bank account between 15th to 20th of every month.
Salary Deposit,When will by salary be processed?,The salary will be credited in your bank account between 15th to 20th of every month.
Salary Deposit,There is a discrepancy in my salary received and payslip for the current month. ,Employees can send an email to hrsupport@valentabpo.com if they have any queries about their salary.
Salary Deposit,I have recieved less salary than what is mentioned in payslip. What to do?,Employees can send an email to hrsupport@valentabpo.com if they have any queries about their salary.
Salary Deposit,The salary i recieved is not matching with the payslip in Greythr. Whom should i contact for this?,Employees can send an email to hrsupport@valentabpo.com if they have any queries about their salary.
Salary Deposit,My payslip details are incorrect. Whom should i contact?,Employees can send an email to hrsupport@valentabpo.com if they have any queries about their salary.
Salary Deposit,,Employees can send an email to hrsupport@valentabpo.com if they have any queries about their salary.
Salary Deposit,What could be a reason for non-processing of salary for any employee?,"If the employee’s bank account details updated in Zoho are incorrect or if there are any KYC issues with the employee’s bank account, the salary will not be processed. "
Salary Deposit,"I havent recieved my salary yet, what could be the issue?","If the employee’s bank account details updated in Zoho are incorrect or if there are any KYC issues with the employee’s bank account, the salary will not be processed. "
Salary Deposit,,"If the employee’s bank account details updated in Zoho are incorrect or if there are any KYC issues with the employee’s bank account, the salary will not be processed. "
Salary Deposit,,"If the employee’s bank account details updated in Zoho are incorrect or if there are any KYC issues with the employee’s bank account, the salary will not be processed. "
Salary Deposit,,"If the employee’s bank account details updated in Zoho are incorrect or if there are any KYC issues with the employee’s bank account, the salary will not be processed. "
Salary Deposit,Which documents do I need to submit and keep up to date for seamless salary processing?,Employees need to submit cancelled cheque/passbook xerox at the time of onboarding and the bank account details need to be updated in Zoho.
Salary Deposit,What documents should i submit for salary processing?,Employees need to submit cancelled cheque/passbook xerox at the time of onboarding and the bank account details need to be updated in Zoho.
Salary Deposit,,Employees need to submit cancelled cheque/passbook xerox at the time of onboarding and the bank account details need to be updated in Zoho.
Salary Deposit,,Employees need to submit cancelled cheque/passbook xerox at the time of onboarding and the bank account details need to be updated in Zoho.
Salary Deposit,,Employees need to submit cancelled cheque/passbook xerox at the time of onboarding and the bank account details need to be updated in Zoho.
Salary Deposit,"Do my timesheets, attendance and leaves affect my monthly take home?","Employees' attendance, timesheets and leaves are to be mandatorily updated in Zoho through and the same will be considered for processing of salaries."
Salary Deposit,Does timetracker affect my salary?,"Employees' attendance, timesheets and leaves are to be mandatorily updated in Zoho through and the same will be considered for processing of salaries."
Salary Deposit,,"Employees' attendance, timesheets and leaves are to be mandatorily updated in Zoho through and the same will be considered for processing of salaries."
Salary Deposit,,"Employees' attendance, timesheets and leaves are to be mandatorily updated in Zoho through and the same will be considered for processing of salaries."
Salary Deposit,,"Employees' attendance, timesheets and leaves are to be mandatorily updated in Zoho through and the same will be considered for processing of salaries."
Salary Deposit,Who can I contact for any other questions related to my salary deposits?,Employees can reach out to HR department or write an email to hrsupport@valentabpo.com
Salary Deposit,Whom should i contact for my salary deposits?,Employees can reach out to HR department or write an email to hrsupport@valentabpo.com
Salary Deposit,,Employees can reach out to HR department or write an email to hrsupport@valentabpo.com
Salary Deposit,,Employees can reach out to HR department or write an email to hrsupport@valentabpo.com
Salary Deposit,,Employees can reach out to HR department or write an email to hrsupport@valentabpo.com
Statutory Deductions,Will my salary structure change after Increment?,"Yes, the salary structure can change after increment."
Statutory Deductions,,"Yes, the salary structure can change after increment."
Statutory Deductions,,"Yes, the salary structure can change after increment."
Statutory Deductions,,"Yes, the salary structure can change after increment."
Statutory Deductions,,"Yes, the salary structure can change after increment."
Statutory Deductions,"My PF contribution is not reflecting in my EPF Fund, what is the reason for this?","PF contribution for the month will be paid by the 15th of next month. It will be reflected in employees' accounts after 15-20 days of payment. If it’s not reflecting, then you need to send an email to accounts@valenta.io with your UAN details & employee ID. 
If we have remitted the PF but if it’s still not reflecting, then the employee needs to raise a grievance with PF department on   https://epfigms.gov.in/"
Statutory Deductions,When will my PF contribution reflect in EPF portal?,"PF contribution for the month will be paid by the 15th of next month. It will be reflected in employees' accounts after 15-20 days of payment. If it’s not reflecting, then you need to send an email to accounts@valenta.io with your UAN details & employee ID. 
If we have remitted the PF but if it’s still not reflecting, then the employee needs to raise a grievance with PF department on   https://epfigms.gov.in/"
Statutory Deductions,When will my PF contribition be paid every month?,"PF contribution for the month will be paid by the 15th of next month. It will be reflected in employees' accounts after 15-20 days of payment. If it’s not reflecting, then you need to send an email to accounts@valenta.io with your UAN details & employee ID. 
If we have remitted the PF but if it’s still not reflecting, then the employee needs to raise a grievance with PF department on   https://epfigms.gov.in/"
